Char	Type	Sub
1	P	NA
2	S	1
3	S	1
4	S	1
5	S	1
6	S	1
7	P	NA
8	S	7
9	S	7
10	S	7
11	S	7
12	S	7
13	P	NA
14	P	NA
15	S	14
16	P	NA
17	P	NA
18	P	NA
19	P	NA
20	P	NA
21	P	NA
22	S	21
23	S	21
24	S	21
25	S	21
26	P	NA
27	S	26
28	P	NA
29	P	NA
30	P	NA
31	P	NA
32	S	31
33	P	NA
34	S	33
35	P	NA
36	P	NA
37	S	36
38	P	NA
39	P	NA
40	P	NA
41	P	NA
42	P	NA
43	P	NA
44	S	43
45	P	NA
46	P	NA
47	P	NA
48	P	NA
49	P	NA
